Americas,Caribbean,Puerto Rico,NP/NSO, 695 , 747 , 781 , 787 , 797 , 771 , 748 , 730 , 815 , 901 ," 1,017 "," 1,164 "," 1,004 ", 902 , 700 , 619 , 679 ,, 18.3 , 19.7 , 20.6 , 20.8 , 21.1 , 20.5 , 19.9 , 19.5 , 21.8 , 24.2 , 27.4 , 31.4 , 27.2 , 24.5 , 19.0 , 16.8 , 18.5 
Americas,Caribbean,Saint Kitts and Nevis,OAS/CTS, 3 , 6 , 5 , 10 , 11 , 8 , 17 , 16 , 23 , 27 , 21 , 34 , 18 ,,,,,, 6.6 , 13.0 , 10.7 , 21.1 , 22.9 , 16.5 , 34.5 , 32.1 , 45.7 , 53.1 , 40.8 , 65.4 , 34.2 ,,,,
Americas,Caribbean,Saint Lucia,OAS/MD, 23 , 34 , 42 , 36 , 37 , 41 , 43 , 29 , 39 , 39 , 44 , 46 , 39 , 33 , 34 ,,,, 14.7 , 21.5 , 26.3 , 22.4 , 22.8 , 25.0 , 26.0 , 17.3 , 23.0 , 22.8 , 25.5 , 26.5 , 22.3 , 18.8 , 19.3 ,,
Americas,Caribbean,Saint Vincent and the Grenadines,OAS/CTS, 20 , 12 , 20 , 18 , 29 , 26 , 20 , 40 , 16 , 23 , 25 , 21 , 28 ,,,, 40 ,, 18.5 , 11.1 , 18.5 , 16.6 , 26.7 , 23.9 , 18.4 , 36.7 , 14.7 , 21.1 , 22.9 , 19.2 , 25.6 ,,,, 36.5 
Americas,Caribbean,Trinidad and Tobago,OAS/CTS, 120 , 151 , 171 , 229 , 260 , 386 , 371 , 391 , 547 , 507 , 473 , 352 , 380 , 408 , 405 , 420 ,,, 9.5 , 11.9 , 13.4 , 17.8 , 20.1 , 29.8 , 28.5 , 29.9 , 41.6 , 38.4 , 35.6 , 26.4 , 28.3 , 30.3 , 29.9 , 30.9 ,
Americas,Caribbean,Turks and Caicos Islands,PAHO/MD, -   , -   , 2 , -   ,, -   ,, 2 , 2 , 2 ,,,, 4 , 2 ,,,, -   , -   , 9.2 , -   ,, -   ,, 7.0 , 6.8 , 6.6 ,,,, 12.1 , 5.9 ,,
Americas,Caribbean,United States Virgin Islands,MD, 23 , 28 , 41 , 31 , 37 , 37 , 43 , 43 , 46 , 50 , 56 , 45 , 52 ,,,,,, 21.2 , 25.8 , 37.8 , 28.6 , 34.2 , 34.3 , 40.0 , 40.1 , 43.1 , 47.0 , 52.8 , 42.5 , 49.3 ,,,,
Americas,Central America,Belize,OAS/CTS, 41 , 64 , 87 , 67 , 79 , 81 , 92 , 97 , 103 , 97 , 129 , 124 , 145 , 99 , 123 , 119 , 138 ,, 16.6 , 25.1 , 33.2 , 24.9 , 28.6 , 28.6 , 31.6 , 32.5 , 33.6 , 30.9 , 40.1 , 37.7 , 43.1 , 28.8 , 35.0 , 33.1 , 37.6 
Americas,Central America,Costa Rica,UNSDC/MOJ/CTS, 249 , 257 , 258 , 300 , 280 , 335 , 351 , 369 , 512 , 525 , 527 , 474 , 407 , 411 , 477 , 557 , 578 ,, 6.3 , 6.4 , 6.3 , 7.3 , 6.7 , 7.9 , 8.1 , 8.4 , 11.6 , 11.7 , 11.6 , 10.3 , 8.7 , 8.7 , 10.0 , 11.6 , 11.9 
Americas,Central America,El Salvador,OAS/CTS/RSC," 3,551 "," 3,590 "," 2,835 "," 3,356 "," 3,897 "," 3,882 "," 3,927 "," 3,497 "," 3,179 "," 4,382 "," 3,987 "," 4,371 "," 2,594 "," 2,513 "," 3,921 "," 6,656 "," 5,257 ",, 60.5 , 60.8 , 47.7 , 56.2 , 64.9 , 64.4 , 64.8 , 57.5 , 52.0 , 71.4 , 64.7 , 70.6 , 41.7 , 40.2 , 62.4 , 105.4 , 82.8 
